"序号","产品名称","产品编码","型号","Slug","产品类别/系列","检查结果","主图字段","主图引用路径","实际匹配路径","数据文件","数据位置","建议动作"
"1","100 μL PEEK 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 900 行","补充主图路径；补图前暂不发布"
"2","100 μL PEEK 泵头微型柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 13993 行","补充主图路径；补图前暂不发布"
"3","100 µL PEEK Pump Head Miniature Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 14376 行","补充主图路径；补图前暂不发布"
"4","100 µL PEEK Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 1291 行","补充主图路径；补图前暂不发布"
"5","100 μL PMMA 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 25 行","补充主图路径；补图前暂不发布"
"6","100 μL PMMA 泵头超紧凑柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 19147 行","补充主图路径；补图前暂不发布"
"7","100 μL PMMA 泵头微型柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 13134 行","补充主图路径；补图前暂不发布"
"8","100 µL PMMA Pump Head Miniature Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 13517 行","补充主图路径；补图前暂不发布"
"9","100 µL PMMA Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 416 行","补充主图路径；补图前暂不发布"
"10","100 µL PMMA Pump Head Ultra-Compact Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 19530 行","补充主图路径；补图前暂不发布"
"11","1000 μL PEEK 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 6150 行","补充主图路径；补图前暂不发布"
"12","1000 µL PEEK Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 6541 行","补充主图路径；补图前暂不发布"
"13","1000 μL PMMA 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 5275 行","补充主图路径；补图前暂不发布"
"14","1000 μL PMMA 泵头微型柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 17429 行","补充主图路径；补图前暂不发布"
"15","1000 µL PMMA Pump Head Miniature Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 17812 行","补充主图路径；补图前暂不发布"
